experiment,AudioFragment,AudioFull,AVFragment,AVFull,TextFragment,TextFull,VideoFragment,VideoFull
Fleiss Kappa,0.670833914,0.326398831,0.593766945,0.359603367,0.379047648,0.283135776,0.097876179,0.056822451
Fleiss Kappa+spam,0.581805873,0.138067131,0.473683659,0.249064245,0.192879321,0.231100027,0.072764486,-0.42413807
Kappa Pos only,0.641986362,0.177153646,0.563932439,0.431558884,0.340442541,0.167769296,0.087882891,0.048169759
Kappa Mix only,0.542570444,0.20278203,0.544950577,0.043761206,0.389251975,0.027493751,0.115992784,0.033816425
Kappa Neg only,0.794528997,0.425641026,0.581853288,0.146289568,0.365161062,0.112801014,0.093955107,0.023117077
Average deviation,0.337956691,0.605295051,0.418021125,0.574821938,0.512158635,0.623432982,0.886032175,0.809189769
Average deviation+spam,0.430288761,0.701517009,0.543133086,0.633932011,0.622014853,0.654995472,0.884790753,0.836770142
Interfragment deviation,0.620875232,N/A,0.612012363,N/A,0.558162949,N/A,0.343678737,N/A
Average,3.501360544,3.772123016,3.447014361,3.79922619,3.259171815,3.709090909,3.386772487,3.380138889
Positive average,3.962907268,4.304365079,3.860261766,4.433874459,3.669775023,4.409090909,3.464717349,3.582070707
Mixed average,3.01162465,3.488194444,3.059243697,3.439285714,3.007040998,3.425,3.535294118,3.25
Negative average,2.687202381,2.36875,2.684540344,2.292261905,2.804145623,2.45,3.055092593,2.95
