experiment,AudioFragment,AudioFull,AVFragment,AVFull,TextFragment,TextFull,VideoFragment,VideoFull
Fleiss Kappa,0.5908351609036658,0.5128207886541156,0.5129026349055618,0.5919226245963474,0.6994096877637511,0.6677624238047596,0.3568121351353026,0.18569840047900096
Fleiss Kappa+spam,0.3751576724857444,0.28424864931509053,0.28352483843472426,0.4350105455218773,0.5326804627221698,0.6176137199011604,0.3496793183612551,0.36996881671293513
Kappa Pos only,0.5967797949336554,0.44423859738436233,0.508204830731306,0.7341539454179863,0.6767430513845702,0.6291291843552205,0.3235563681591432,0.4633812457221079
Kappa Mix only,0.49432640867754457,0.5045045045045045,0.43981170909666567,0.11677282377919321,0.7201436870232085,0.6687370600414079,0.4279217204485577,-0.010101010101010138
Kappa Neg only,0.614903559270608,0.32351591806626306,0.4471722886947465,0.4904458598726115,0.7809209309766072,0.6902826171118852,0.3610909248102615,-0.010101010101010138
Average deviation,0.40885608326005585,0.5824780884132974,0.5034199152944888,0.3303265943387551,0.2927473094254325,0.31104934309010857,0.7516900170099383,0.2857142857142857
Average deviation+spam,0.6918759967043517,0.8439171177257355,0.6951016020049846,0.6498969950963056,0.4580009039033565,0.4230151855072439,0.7987817659664443,0.7130406110866341
Interfragment deviation,0.6458423763805764,N/A,0.6336855082482861,N/A,0.5733149344555569,N/A,0.4738875684631635,N/A
Average,3.49251700680272,3.8376190476190475,3.4431519274376416,3.9458333333333337,3.17792417938049,3.5524999999999998,3.167142857142857,3.0714285714285716
Positive average,3.968421052631579,4.45021645021645,3.890016708437761,4.643939393939394,3.6498268398268396,4.35,3.2470760233918123,3.2142857142857144
Mixed average,2.9794117647058824,3.3625,2.9723389355742293,3.5833333333333335,2.877170868347339,3.375,3.4078431372549023,2.3333333333333335
Negative average,2.6762896825396822,2.3375,2.6459821428571426,2.208333333333333,2.6994047619047623,2.125,2.78125,2.8333333333333335
